319	8099	10578 13241 18050 13241 12984 19051 5402 13210 10443 8343 12984 13623 5839 19051 11031 20295 5219 18050 13241 14414 5402 4369 8658 7152 19811 5512 12290 10443 6215
9816	8099	18022 19428 7239 7547 10583 18050 14414 17852 8655 2809 8658 273 18022 7717 10443 19051 21597 6968 10583 20681 8343 12121 17730 12525 5839 18844 14491 17500 10443 19051 13355 10583 7239 1928 22037 10583 10278 20681 12000 14470 9853 8343 20681 6264 14958 21408 10583 7081 10575 19051 14286 2987 10443 21408 762 17958 16789 8655 7239 13226 13502 8662 8500 8658 5839 2033 8343 16407 4063 7239 5124 10583 4329 8655 4976 10583 19051 18227 5839 14470 9853 7239 1804 20612 8655 13520 17730 1833 22480 8500 14470 19051 11714 5839 10443 14414 9970 21965 43 8343 12722 8478 8658
10232	8099	7152 1833 18389 10575 9970 12499 8343 17754 3015 8480 16294 19439 18050 14602 8655 17730 1833 19508 9853 19051 4976 10583 10997 15713 10443 11725 21831 8343 12342 15284 9853 8658 9843 17754 14655 17206 10501 10575 9970 12499
3222	8099	17730 7462 8658 12984 19051 14615 725 18819 8343 16388 9853 18816 12984 7462 22494 8658 925 14470 5839 19051 8931 17294 8343 14606 8658 7152 18022 7717 5839 7239 13210 8343 8966 8658 8655 2179 10443 15733 1290 13696 8388 8658 5531 14133 18962 8793 8669 8478 8658 12000 5835 5337 22037 19939 13623 5839 19051 4668 7717 10596 6741 5337 22037 19939 18879 12000 14414
1449	8099	5660 20584 14950 7152 8658 18050 19939 7239 13241 7492 8655 1833 4063 8665 7239 4495 7239 4329 8083 10575 7494 2526 10575 12499 4063 12981 14950 16388 18962 14491 12000 2752 7841 671 18050 493 19939 9438 7239 14733 5839 7239 10523 1232 17380 3079
14999	8099	19654 1833 9 15733 1290 20489 1833 19051 21410 1185 4328 1290 19051 21410 1185 11859 16597 1833 14655 12290 10575 11915 8793 16566 4197 1833 6812 21410 1185 8655 5932 10575 17469 17730 1379 7239 11031 1764 18731
2238	4443	17730 14831 8343 5383 18050 1804 12000 3296 22089 10583 7239 11915 5985 8343 266 10575 9970 12499 10861 12000 8604 12057 10443 8658 20040 13467 19051 11915 5985 12920 17404 6261 15927 9853 18627 11182 10879 17450 19051 13355 10583 10523 21652 10575 18050 1804 8343 9864 8658 4197 3942 18389 19768
21974	4443	14778 9940 8343 3942 14778 9940 15457 18050 1804 4487 8343 3235 2032 20681 8658 8343 13081 6500 10443 16407 7239 14856 8658 19066 2032 12000 18284 1666 7239 11915 8793 1578 4785 19051 20655 10583 19051 18589 9853 18816 17050 8343 22489 8658 12984 408 9970 8793 12984 21638 8665 19939 19051 973 4739 4369 16623 11885 8608 20681 8658 4487 8343 21995 9970 11573 8793 10501 8658 6221 9460 12000 615 11915 8343 12905 762 10443 3359 8658 12984 10278 8931 408 8658 3860 1666 10596 18589 8343 3319 16294 6221 483 10596 8670 8658 273 6259 6878 5989 10596 11051 4587 8658 9818 9853 19831 1833 15521
11785	4443	16446 20040 16446 5839 9970 8793 20681 6261 15770 10443 10278 11667 10583 11821 9864 8658 18389 5839 14470 9853 8658 3860
15019	4443	18050 9818 8343 5383 18050 1804 15457 2071 17965 8343 15395 9970 6210 10583 395 17575 6261 13469 6261 8343 12984 2125 14951 671 7239 1804 8343 2032 8044 17153 6261 8343 12905 7239 3302 8665 19051 13827 21573 8343 12984 7152 11725 8343 2032 12000 6500 7835 4063 8793 21665 1290 8658 12984 5519 6261 10583 4566 9970 22043 21098 22037 11182 21591 14009 6261 7088 12520 13623
19222	4443	7152 16446 18050 19173 20040 16446 6264 16257 8343 7306 7841 8658 10575 10198 18965 5839 4739 10443 16446 7360 14950 18227 18962 17294
4771	4443	8658 9818 8343 10026 18050 12000 3296 22089 10583 19051 12057 10443 8658 20040 19939 18816 8670 18983 22037 13623 12000 15017 17206 8679 5985 18050 22441 3296 22089 10583 8658 8343 14950 22489 15457 2985 8658 16257 21196 18962 12499 9853 8658 9239 18389 5839 19051 5985
22257	4443	20040 18389 5839 14470 8343 18428 18050 687 17329 671 16767 6802 8658 19066 18389 5839 14470 9853 12761 8343 15395 7239 6210 8343 2397 20295 21078 19939 12000 3296 21476 17153 19857 9298 8343 6256 19831 18428 762 6210 11725 18816 9970 14329 9 3296 19538 13862
22073	4443	4202 10523 1804 20681 19051 14615 20655 10575 18962 5985 10443 7239 8609 20850 17730 10037 19582 7239 3235 11211 10583 8793 6600 7239 11423 20850 7239 5985 8655 2125 6246 3015 3296 13272 17153 9480 7239 14991 3679 1804
17614	4443	10338 17281 8343 3860 20681 8658 731 19051 4739 7239 13502 5343 8655 18816 17730 17281 4976 10583 6550 22441 13623 5839 1511 1804 18816 9843 17281 11725 7919
13144	8978	5870 9740 4415 13272 6261 10196 10443 9297 18816 18560 18050 1048 12761 7088 7841 8658 10575 3725 15457 5870 13900 18050 1232 8655 18022
15301	8978	7728 10523 18050 8655 7239 3235 761 6600 5758 18816 8343 5945 8343 14606 17730 1139 10443 8343 3015 20064 12000 6500 8658 8665 19051 10196 6494
8552	8978	18022 1185 18050 1804 273 19051 7728 7516 1185 16789 8655 18022 5839 7239 12255 8343 5945 8658 8343 22441 6584 20135 12000 18050 1804 18050 21579 12255
